raw_sentence,tag,cleaned_sentence
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal . 
",positive,the rock be destine to be the 21st century  new conan and that he be go to make a splash even great than arnold schwarzenegger jean claud van damme or steven segal
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth . 
",positive,the gorgeously elaborate continuation of the lord of the ring trilogy be so huge that a column of word can not adequately describe co writer director peter jackson  expand vision of j r r tolkien  middle earth
"effective but too-tepid biopic
",positive,effective but too tepid biopic
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start . 
",positive,if you sometimes like to go to the movie to have fun wasabi be a good place to start
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . 
",positive,emerge as something rare an issue movie that be so honest and keenly observed that it do not feel like one
"the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game . 
",positive,the film provide some great insight into the neurotic mindset of all comic_strip even those who have reach the absolute top of the game
"offers that rare combination of entertainment and education . 
",positive,offer that rare combination of entertainment and education
"perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions . 
",positive,perhaps no picture ever make have more literally show that the road to hell be pave with good intention
"steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off . 
",positive,steer turn in a snappy screenplay that curl at the edge it be so clever you want to hate it but he somehow pull it off
"take care of my cat offers a refreshingly different slice of asian cinema . 
",positive,take care of my cat offer a refreshingly different slice of asian cinema
"this is a film well worth seeing , talking and singing heads and all . 
",positive,this be a film well worth see talk and singe head and all
"what really surprises about wisegirls is its low-key quality and genuine tenderness . 
",positive,what really surprise about wisegirl be its low key quality and genuine tenderness
" ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . 
",positive,wendigo be why we go to the cinema to be feed through the eye the heart the mind
"one of the greatest family-oriented , fantasy-adventure movies ever . 
",positive,one of the great family orient fantasy adventure movie ever
"ultimately , it ponders the reasons we need stories so much . 
",positive,ultimately it ponder the reason we need story so much
"an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question . 
",positive,an utterly compelling who write it in which the reputation of the most famous author who ever live come into question
"illuminating if overly talky documentary . 
",positive,illuminate if overly talky documentary
"a masterpiece four years in the making . 
",positive,a masterpiece four year in the making
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries . 
",positive,the movie  ripe enrapturing beauty will tempt those willing to probe its inscrutable mystery
"offers a breath of the fresh air of true sophistication . 
",positive,offer a breath of the fresh air of true sophistication
"a thoughtful , provocative , insistently humanizing film . 
",positive,a thoughtful provocative insistently humanizing film
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives . 
",positive,with a cast that include some of the top actor work in independent film lovely amazing involve we because it be so incisive so bleakly amusing about how we go about our life
"a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass . 
",positive,a disturbing and frighteningly evocative assembly of imagery and hypnotic music compose by philip glass
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare . 
",positive,not for everyone but for those with whom it will connect it be a nice departure from standard moviegoing fare
"scores a few points for doing what it does with a dedicated and good-hearted professionalism . 
",positive,score a few point for do what it do with a dedicated and good hearted professionalism
"occasionally melodramatic , it's also extremely effective . 
",positive,occasionally melodramatic it be also extremely effective
"spiderman rocks
",positive,spiderman rock
"an idealistic love story that brings out the latent 15-year-old romantic in everyone . 
",positive,an idealistic love story that bring out the latent 15 year old romantic in everyone
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . 
",positive,at about 95 minute treasure planet maintain a brisk pace as it race through the familiar story however it lack grandeur and that epic quality often associate with stevenson  tale as well as with early disney effort
"it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid . 
",positive,it help that lil bow wow tone down his pint sized gangsta act to play someone who resemble a real kid
"guaranteed to move anyone who ever shook , rattled , or rolled . 
",positive,guarantee to move anyone who ever shake rattle or roll
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview . 
",positive,a masterful film from a master filmmaker unique in its deceptive grimness compelling in its fatalist worldview
"light , cute and forgettable . 
",positive,light cute and forgettable
